date,home_team,away_team,lambda_home,lambda_away,p_home,p_draw,p_away,top_scorelines,odds_home,odds_draw,odds_away,p_mkt_home,p_mkt_draw,p_mkt_away,odds_ts,n_bookmakers,home_score,away_score,outcome,logloss_model,logloss_market
2026-06-11,Mexico,South Africa,2.274,0.455,0.784,0.1596,0.0564,2-0:0.170|1-0:0.147|3-0:0.129,,,,,,,,,2.0,0.0,home_win,0.2433462586317291,
2026-06-11,South Korea,Czech Republic,1.511,0.962,0.4942,0.2702,0.2356,1-1:0.128|1-0:0.122|2-0:0.096,,,,,,,,,2.0,1.0,home_win,0.7048149854276274,
2026-06-12,Canada,Bosnia and Herzegovina,2.188,0.62,0.7124,0.1926,0.095,2-0:0.144|1-0:0.133|3-0:0.101,,,,,,,,,1.0,1.0,draw,1.647139779618112,
2026-06-12,United States,Paraguay,1.152,1.453,0.3649,0.2799,0.3552,1-1:0.132|1-0:0.102|0-1:0.097,,,,,,,,,4.0,1.0,home_win,1.0081319355397351,
2026-06-13,Qatar,Switzerland,0.646,2.415,0.0926,0.1704,0.737,0-2:0.128|0-1:0.104|0-3:0.101,,,,,,,,,1.0,1.0,draw,1.7696066645869215,
2026-06-13,Brazil,Morocco,1.354,1.049,0.4373,0.3001,0.2626,1-0:0.137|1-1:0.135|0-0:0.121,,,,,,,,,1.0,1.0,draw,1.2036395265358155,
2026-06-13,Haiti,Scotland,1.048,1.576,0.2385,0.2575,0.5041,1-1:0.123|0-1:0.106|1-2:0.096,,,,,,,,,0.0,1.0,away_win,0.6849806178935519,
2026-06-13,Australia,Turkey,1.244,1.338,0.3867,0.2778,0.3355,1-1:0.132|1-0:0.100|0-1:0.090,,,,,,,,,2.0,0.0,home_win,0.9501060803688856,
2026-06-14,Germany,Curaçao,2.483,0.662,0.8021,0.1349,0.063,2-0:0.125|3-0:0.113|1-0:0.091,,,,,,,,,7.0,1.0,home_win,0.2205219906092581,
2026-06-14,Netherlands,Japan,1.171,1.285,0.3477,0.2825,0.3699,1-1:0.134|0-1:0.099|1-0:0.095,,,,,,,,,2.0,2.0,draw,1.2640767283956416,
2026-06-14,Ivory Coast,Ecuador,0.865,1.614,0.2113,0.3021,0.4867,0-1:0.155|0-0:0.140|1-1:0.127,,,,,,,,,1.0,0.0,home_win,1.554476354360126,
2026-06-14,Sweden,Tunisia,1.297,1.246,0.3661,0.2934,0.3405,1-1:0.137|1-0:0.108|0-0:0.103,,,,,,,,,5.0,1.0,home_win,1.0048487588559465,
