date,home_team,away_team,home_score,away_score,home_played_qualifiers_cycle,away_played_qualifiers_cycle,match_type
2010-01-02,Iran,North Korea,1,0,False,False,friendly
2010-01-02,Qatar,Mali,0,0,False,False,friendly
2010-01-02,Syria,Zimbabwe,6,0,False,False,friendly
2010-01-02,Yemen,Tajikistan,0,1,False,False,friendly
2010-01-03,Angola,Gambia,1,1,False,False,friendly
2010-01-04,Egypt,Mali,1,0,False,False,friendly
2010-01-04,Tanzania,Ivory Coast,0,1,False,False,friendly
2010-01-05,Ghana,Malawi,0,0,False,False,friendly
2010-01-06,Bahrain,Hong Kong,4,0,False,False,continental_qualifier
2010-01-06,Benin,Libya,1,0,False,False,friendly
2010-01-06,China,Syria,0,0,False,False,continental_qualifier
2010-01-06,Gabon,Mozambique,2,0,False,False,friendly
2010-01-06,Indonesia,Oman,1,2,False,False,continental_qualifier
2010-01-06,Kuwait,Australia,2,2,False,False,continental_qualifier
2010-01-06,Lebanon,Vietnam,1,1,False,False,continental_qualifier
2010-01-06,Singapore,Iran,1,3,False,False,continental_qualifier
2010-01-06,Thailand,Jordan,0,0,False,False,continental_qualifier
2010-01-06,United Arab Emirates,Malaysia,1,0,False,False,continental_qualifier
2010-01-06,Yemen,Japan,2,3,False,False,continental_qualifier
2010-01-07,Rwanda,Ivory Coast,0,2,False,False,friendly
2010-01-09,Kenya,Cameroon,1,3,False,False,friendly
2010-01-09,Tunisia,Gambia,1,2,False,False,friendly
2010-01-09,Zambia,South Korea,4,2,False,False,friendly
2010-01-10,Angola,Mali,4,4,False,False,continental
2010-01-11,Ivory Coast,Burkina Faso,0,0,False,False,continental
2010-01-11,Malawi,Algeria,3,0,False,False,continental
2010-01-12,Egypt,Nigeria,3,1,False,False,continental
2010-01-12,Mozambique,Benin,2,2,False,False,continental
2010-01-13,Cameroon,Gabon,0,1,False,False,continental
2010-01-13,Zambia,Tunisia,1,1,False,False,continental
2010-01-14,Angola,Malawi,2,0,False,False,continental
2010-01-14,Mali,Algeria,0,1,False,False,continental
2010-01-15,Ivory Coast,Ghana,3,1,False,False,continental
2010-01-15,Yemen,Kenya,3,1,False,False,friendly
2010-01-16,Egypt,Mozambique,2,0,False,False,continental
2010-01-16,Nigeria,Benin,1,0,False,False,continental
2010-01-17,Cameroon,Zambia,3,2,False,False,continental
2010-01-17,Gabon,Tunisia,0,0,False,False,continental
2010-01-17,Thailand,Singapore,1,0,False,False,other
2010-01-17,Vietnam,China,1,2,False,False,continental_qualifier
2010-01-18,Angola,Algeria,0,0,False,False,continental
2010-01-18,Finland,South Korea,0,2,False,False,friendly
2010-01-18,Mali,Malawi,3,1,False,False,continental
2010-01-19,Burkina Faso,Ghana,0,1,False,False,continental
2010-01-20,Chile,Panama,2,1,False,False,friendly
2010-01-20,Egypt,Benin,2,0,False,False,continental
2010-01-20,Nigeria,Mozambique,3,0,False,False,continental
2010-01-20,Oman,Sweden,0,1,False,False,friendly
2010-01-20,Thailand,Poland,1,3,False,False,other
2010-01-20,Yemen,Bahrain,3,0,False,False,continental_qualifier
2010-01-21,Cameroon,Tunisia,2,2,False,False,continental
2010-01-21,Gabon,Zambia,1,2,False,False,continental
2010-01-22,Latvia,South Korea,0,1,False,False,friendly
2010-01-23,Poland,Singapore,6,1,False,False,other
2010-01-23,Syria,Sweden,1,1,False,False,friendly
2010-01-23,United States,Honduras,1,3,False,False,friendly
2010-01-24,Angola,Ghana,0,1,False,False,continental
2010-01-24,Ivory Coast,Algeria,2,3,False,False,continental
2010-01-25,Egypt,Cameroon,3,1,False,False,continental
2010-01-25,Zambia,Nigeria,0,0,False,False,continental
2010-01-26,Argentina,Costa Rica,3,2,False,False,friendly
2010-01-27,South Africa,Zimbabwe,3,0,False,False,friendly
2010-01-28,Algeria,Egypt,0,4,False,False,continental
2010-01-28,Ghana,Nigeria,1,0,False,False,continental
2010-01-30,Nigeria,Algeria,1,0,False,False,continental
2010-01-31,Ghana,Egypt,0,1,False,False,continental
2010-01-31,Jamaica,Canada,1,0,False,False,friendly
2010-02-02,Japan,Venezuela,0,0,False,False,friendly
2010-02-06,Japan,China,0,0,False,False,other
2010-02-07,South Korea,Hong Kong,5,0,False,False,other
2010-02-10,Argentina,Jamaica,2,1,False,False,friendly
2010-02-10,China,South Korea,3,0,False,False,other
2010-02-11,Japan,Hong Kong,3,0,False,False,other
2010-02-14,Hong Kong,China,0,2,False,False,other
2010-02-14,Japan,South Korea,1,3,False,False,other
2010-02-16,Sri Lanka,Myanmar,0,4,False,False,other
2010-02-16,Tajikistan,Bangladesh,1,2,False,False,other
2010-02-17,North Korea,Turkmenistan,1,1,False,False,other
2010-02-18,Bangladesh,Myanmar,1,2,False,False,other
2010-02-18,Sri Lanka,Tajikistan,1,3,False,False,other
2010-02-19,Kuwait,Syria,1,1,False,False,friendly
2010-02-19,Kyrgyzstan,North Korea,0,4,False,False,other
2010-02-20,Sri Lanka,Bangladesh,3,0,False,False,other
2010-02-20,Tajikistan,Myanmar,3,0,False,False,other
2010-02-21,Turkmenistan,Kyrgyzstan,1,0,False,False,other
2010-02-24,North Korea,Myanmar,5,0,False,False,other
2010-02-24,Mexico,Bolivia,5,0,False,False,friendly
2010-02-24,Tajikistan,Turkmenistan,0,2,False,False,other
2010-02-24,United States,El Salvador,2,1,False,False,friendly
2010-02-25,Jordan,Azerbaijan,0,2,False,False,friendly
2010-02-25,Kuwait,Bahrain,4,1,False,False,friendly
2010-02-25,Turkmenistan,North Korea,1,1,False,False,other
2010-02-27,Malaysia,Yemen,1,0,False,False,friendly
2010-02-27,Tajikistan,Myanmar,1,0,False,False,other
2010-03-02,Guadeloupe,Saint Kitts and Nevis,2,1,False,False,friendly
2010-03-02,Republic of Ireland,Brazil,0,2,False,False,friendly
2010-03-03,Albania,Northern Ireland,1,0,False,False,friendly
2010-03-03,Algeria,Serbia,0,3,False,False,friendly
2010-03-03,Angola,Latvia,1,1,False,False,friendly
2010-03-03,Armenia,Belarus,1,3,False,False,friendly
2010-03-03,Australia,Indonesia,1,0,False,False,continental_qualifier
2010-03-03,Austria,Denmark,2,1,False,False,friendly
2010-03-03,Belgium,Croatia,0,1,False,False,friendly
2010-03-03,Bosnia and Herzegovina,Ghana,2,1,False,False,friendly
2010-03-03,Cyprus,Iceland,0,0,False,False,friendly
2010-03-03,El Salvador,Guatemala,1,2,False,False,friendly
2010-03-03,England,Egypt,3,1,False,False,friendly
